id_solicitante,inadimplente
20001,1
20002,0
20003,0
20004,1
20005,0
20006,1
20007,0
20008,0
20009,0
20010,0
20011,0
20012,1
20013,1
20014,0
20015,0
20016,1
20017,1
20018,0
20019,0
20020,0
20021,0
20022,0
20023,1
20024,1
20025,0
20026,0
20027,1
20028,0
20029,0
20030,1
20031,1
20032,0
20033,0
20034,1
20035,0
20036,1
20037,0
20038,1
20039,1
20040,0
20041,1
20042,1
20043,1
20044,1
20045,1
20046,0
20047,0
20048,1
20049,0
20050,1
20051,1
20052,1
20053,1
20054,1
20055,0
20056,0
20057,0
20058,1
20059,1
20060,0
20061,1
20062,1
20063,1
20064,1
20065,0
20066,1
20067,0
20068,1
20069,1
20070,1
20071,1
20072,1
20073,1
20074,0
20075,1
20076,1
20077,1
20078,0
20079,1
20080,1
20081,0
20082,0
20083,1
20084,0
20085,1
20086,1
20087,1
20088,0
20089,0
20090,1
20091,1
20092,0
20093,0
20094,1
20095,0
20096,1
20097,1
20098,1
20099,0
20100,0
20101,1
20102,0
20103,0
20104,0
20105,1
20106,0
20107,0
20108,1
20109,1
20110,1
20111,0
20112,1
20113,0
20114,0
20115,0
20116,0
20117,0
20118,1
20119,1
20120,1
20121,0
20122,1
20123,1
20124,0
20125,1
20126,0
20127,1
20128,1
20129,0
20130,1
20131,0
20132,1
20133,1
20134,1
20135,0
20136,1
20137,0
20138,1
20139,0
20140,1
20141,1
20142,0
20143,0
20144,0
20145,0
20146,0
20147,0
20148,0
20149,1
20150,0
20151,1
20152,0
20153,1
20154,0
20155,1
20156,1
20157,1
20158,0
20159,1
20160,0
20161,0
20162,0
20163,0
20164,1
20165,0
20166,0
20167,0
20168,1
20169,1
20170,1
20171,1
20172,0
20173,0
20174,0
20175,1
20176,1
20177,1
20178,0
20179,1
20180,0
20181,0
20182,0
20183,1
20184,1
20185,1
20186,1
20187,0
20188,1
20189,1
20190,0
20191,1
20192,0
20193,0
20194,1
20195,0
20196,1
20197,0
20198,0
20199,0
20200,1
20201,0
20202,0
20203,1
20204,1
20205,1
20206,1
20207,1
20208,1
20209,0
20210,1
20211,1
20212,0
20213,1
20214,1
20215,1
20216,1
20217,0
20218,1
20219,1
20220,1
20221,1
20222,0
20223,0
20224,1
20225,0
20226,0
20227,0
20228,1
20229,0
20230,0
20231,0
20232,0
20233,1
20234,1
20235,1
20236,1
20237,1
20238,1
20239,1
20240,1
20241,0
20242,0
20243,1
20244,1
20245,1
20246,0
20247,1
20248,0
20249,0
20250,0
20251,0
20252,0
20253,1
20254,1
20255,0
20256,0
20257,0
20258,1
20259,0
20260,1
20261,1
20262,0
20263,0
20264,1
20265,1
20266,0
20267,0
20268,1
20269,0
20270,1
20271,0
20272,1
20273,0
20274,1
20275,1
20276,0
20277,1
20278,1
20279,1
20280,0
20281,0
20282,0
20283,1
20284,1
20285,0
20286,1
20287,1
20288,1
20289,0
20290,0
20291,1
20292,0
20293,0
20294,1
20295,1
20296,1
20297,1
20298,0
20299,1
20300,1
20301,0
20302,1
20303,1
20304,1
20305,1
20306,0
20307,0
20308,0
20309,0
20310,0
20311,1
20312,0
20313,0
20314,1
20315,1
20316,1
20317,1
20318,1
20319,1
20320,1
20321,0
20322,1
20323,1
20324,0
20325,0
20326,0
20327,1
20328,0
20329,0
20330,1
20331,1
20332,0
20333,1
20334,1
20335,1
20336,0
20337,1
20338,1
20339,0
20340,1
20341,1
20342,1
20343,0
20344,1
20345,1
20346,0
20347,0
20348,1
20349,1
20350,1
20351,1
20352,1
20353,0
20354,1
20355,0
20356,1
20357,0
20358,1
20359,1
20360,0
20361,1
20362,1
20363,1
20364,0
20365,0
20366,1
20367,0
20368,1
20369,1
20370,1
20371,0
20372,1
20373,1
20374,0
20375,1
20376,0
20377,1
20378,0
20379,0
20380,1
20381,1
20382,0
20383,0
20384,1
20385,0
20386,1
20387,1
20388,0
20389,1
20390,0
20391,1
20392,0
20393,0
20394,0
20395,1
20396,1
20397,1
20398,1
20399,0
20400,0
20401,0
20402,0
20403,1
20404,0
20405,1
20406,0
20407,1
20408,0
20409,0
20410,0
20411,0
20412,1
20413,0
20414,1
20415,0
20416,0
20417,1
20418,1
20419,0
20420,0
20421,1
20422,0
20423,1
20424,0
20425,0
20426,0
20427,0
20428,0
20429,0
20430,0
20431,0
20432,0
20433,0
20434,0
20435,0
20436,1
20437,0
20438,0
20439,1
20440,1
20441,1
20442,1
20443,1
20444,0
20445,0
20446,0
20447,0
20448,1
20449,0
20450,0
20451,1
20452,1
20453,1
20454,0
20455,1
20456,1
20457,0
20458,0
20459,1
20460,1
20461,1
20462,0
20463,0
20464,0
20465,1
20466,1
20467,0
20468,1
20469,0
20470,0
20471,0
20472,0
20473,0
20474,0
20475,1
20476,0
20477,0
20478,0
20479,1
20480,1
20481,1
20482,1
20483,1
20484,0
20485,0
20486,0
20487,1
20488,1
20489,1
20490,0
20491,1
20492,0
20493,1
20494,0
20495,0
20496,1
20497,1
20498,1
20499,1
20500,0
20501,0
20502,1
20503,1
20504,0
20505,0
20506,1
20507,1
20508,1
20509,1
20510,0
20511,1
20512,1
20513,1
20514,1
20515,0
20516,0
20517,1
20518,0
20519,1
20520,1
20521,1
20522,0
20523,1
20524,0
20525,1
20526,0
20527,1
20528,1
20529,0
20530,0
20531,1
20532,0
20533,1
20534,0
20535,1
20536,0
20537,0
20538,1
20539,1
20540,0
20541,1
20542,0
20543,0
20544,0
20545,0
20546,1
20547,1
20548,1
20549,1
20550,1
20551,0
20552,1
20553,1
20554,1
20555,0
20556,1
20557,1
20558,0
20559,1
20560,1
20561,0
20562,0
20563,0
20564,1
20565,1
20566,0
20567,0
20568,1
20569,0
20570,1
20571,1
20572,1
20573,1
20574,1
20575,0
20576,0
20577,1
20578,0
20579,1
20580,0
20581,1
20582,1
20583,1
20584,0
20585,1
20586,1
20587,1
20588,0
20589,1
20590,0
20591,0
20592,0
20593,0
20594,1
20595,1
20596,0
20597,1
20598,1
20599,1
20600,1
20601,1
20602,0
20603,0
20604,0
20605,1
20606,0
20607,1
20608,1
20609,1
20610,1
20611,1
20612,0
20613,0
20614,1
20615,0
20616,0
20617,0
20618,1
20619,1
20620,0
20621,1
20622,1
20623,0
20624,0
20625,1
20626,0
20627,0
20628,0
20629,0
20630,1
20631,1
20632,1
20633,0
20634,0
20635,0
20636,1
20637,1
20638,0
20639,1
20640,1
20641,0
20642,1
20643,0
20644,0
20645,1
20646,0
20647,0
20648,0
20649,0
20650,1
20651,1
20652,0
20653,1
20654,0
20655,1
20656,1
20657,0
20658,0
20659,1
20660,1
20661,1
20662,1
20663,0
20664,0
20665,1
20666,1
20667,1
20668,1
20669,1
20670,1
20671,1
20672,1
20673,0
20674,0
20675,0
20676,1
20677,0
20678,1
20679,0
20680,0
20681,1
20682,1
20683,1
20684,1
20685,1
20686,1
20687,0
20688,1
20689,0
20690,0
20691,1
20692,1
20693,1
20694,1
20695,0
20696,1
20697,0
20698,1
20699,0
20700,1
20701,0
20702,1
20703,0
20704,1
20705,0
20706,0
20707,1
20708,0
20709,1
20710,1
20711,1
20712,1
20713,0
20714,1
20715,1
20716,0
20717,1
20718,1
20719,0
20720,1
20721,0
20722,0
20723,0
20724,1
20725,1
20726,0
20727,0
20728,1
20729,1
20730,0
20731,1
20732,0
20733,1
20734,0
20735,1
20736,1
20737,0
20738,1
20739,0
20740,1
20741,1
20742,1
20743,0
20744,0
20745,1
20746,0
20747,1
20748,0
20749,0
20750,1
20751,0
20752,1
20753,1
20754,1
20755,0
20756,1
20757,1
20758,0
20759,0
20760,0
20761,1
20762,1
20763,1
20764,0
20765,1
20766,0
20767,0
20768,0
20769,0
20770,1
20771,1
20772,0
20773,1
20774,1
20775,1
20776,0
20777,0
20778,1
20779,0
20780,1
20781,1
20782,1
20783,1
20784,1
20785,0
20786,1
20787,1
20788,1
20789,1
20790,1
20791,0
20792,0
20793,1
20794,0
20795,0
20796,1
20797,1
20798,1
20799,1
20800,1
20801,0
20802,1
20803,0
20804,0
20805,0
20806,0
20807,1
20808,1
20809,0
20810,0
20811,1
20812,0
20813,1
20814,1
20815,0
20816,1
20817,1
20818,1
20819,1
20820,1
20821,1
20822,0
20823,1
20824,0
20825,1
20826,1
20827,0
20828,0
20829,1
20830,1
20831,0
20832,0
20833,0
20834,0
20835,1
20836,1
20837,1
20838,0
20839,1
20840,1
20841,1
20842,1
20843,1
20844,1
20845,1
20846,0
20847,0
20848,0
20849,0
20850,0
20851,1
20852,0
20853,1
20854,1
20855,1
20856,0
20857,1
20858,1
20859,1
20860,0
20861,0
20862,0
20863,1
20864,0
20865,1
20866,1
20867,0
20868,1
20869,1
20870,0
20871,0
20872,1
20873,1
20874,1
20875,1
20876,1
20877,1
20878,1
20879,0
20880,0
20881,0
20882,0
20883,1
20884,0
20885,1
20886,1
20887,1
20888,1
20889,1
